,ME,R,measured_displacement,t,axis,dimension,filename,from,position,rsa_axis,to,true_displacement,displacement_error
53,0.04961385868973051,"[[0.9999988632557514, 0.001505900907341383, 7.582653019534552e-05], [-0.0015058656396074043, 0.9999987589808556, -0.00046303933334335335], [-7.65237274450201e-05, 0.0004629246224196847, 0.9999998899224507]]",146.52731317255996,"[0.14652731317255996, -0.008085744139441298, -0.010133223449594997]",x,0,delta x at isocenter.yaml,dx400,isocenter,Ant-Post,dx500,100.0,46.52731317255996
54,0.04376674803374118,"[[0.9999990515684302, 0.0012562141880530274, -0.0005646132775942918], [-0.0012563684819818803, 0.9999991735037063, -0.0002730020913512544], [0.0005642698618431465, 0.00027371119475382244, 0.9999998033408332]]",81.94018310635444,"[0.08194018310635444, -0.004875222201683016, -0.0005553059072147827]",x,0,delta x at isocenter.yaml,dx450,isocenter,Ant-Post,dx500,50.0,31.94018310635444
55,0.035427271968917366,"[[0.9999998317471922, -0.0002923222398523992, -0.0005010521876791478], [0.0002928517292827604, 0.9999993984861697, 0.001057007646239753], [0.0005007428994463995, -0.0010571542023954687, 0.9999993158405364]]",61.71381961598752,"[-0.02155534082294608, 0.06171381961598752, 0.028757306258502306]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy50,50.0,11.713819615987518
56,0.01995416611321804,"[[0.9999998579632248, 0.00010442752630659196, 0.0005226551658339195], [-0.00010476511153589668, 0.9999997859066778, 0.0006459186246463315], [-0.0005225876022528594, -0.0006459732889290295, 0.9999996548102943]]",120.08960849147601,"[-0.039678869585809386, 0.12008960849147601, 0.011052598398641011]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy100,100.0,20.089608491476014
57,0.03378418733777809,"[[0.9999997318616302, -0.0006550108174575179, -0.0003274713674564843], [0.0006552782724352645, 0.9999994513246014, 0.0008172887383478361], [0.0003269358548167272, -0.0008175031040734574, 0.9999996124007358]]",164.65483118558154,"[-0.008754977494788816, 0.16465483118558155, 0.011545571525821124]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy150,150.0,14.654831185581543
58,0.019860100337057585,"[[0.9999999980951908, -4.212152085699515e-05, 4.5115371829577556e-05], [4.207633197346236e-05, 0.999999497951523, 0.001001162466150486], [-4.515751966560901e-05, -0.0010011605659540135, 0.9999994978190342]]",220.89012410635635,"[-0.04326392060148063, 0.22089012410635636, 0.03179892459129364]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy200,200.0,20.890124106356353
59,0.034818398251004114,"[[0.9999998917964246, -0.00042326256881317434, -0.0001930179716897139], [0.00042344352968246474, 0.9999994699953426, 0.0009384586360720167], [0.00019262065497659223, -0.0009385402667386456, 0.9999995410196203]]",272.31044055463474,"[-0.03326012618255701, 0.2723104405546347, 0.024948659327047762]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy250,250.0,22.310440554634738
60,0.03164908613290445,"[[0.9999999037082669, -0.00036489137639069547, -0.00024379856512304912], [0.00036511885284192495, 0.9999994974846801, 0.0009336587228242252], [0.00024345775859435453, -0.0009337476483726678, 0.999999534421716]]",316.6546588940205,"[-0.025437976530319872, 0.3166546588940205, 0.01580713934697948]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy300,300.0,16.654658894020486
61,0.03510779308561181,"[[0.9999997903058716, -0.0006025560904076028, -0.00023730649162194797], [0.0006027613243540957, 0.9999994435969695, 0.0008657277501378173], [0.00023678471005575242, -0.0008658706077753497, 0.9999995971004645]]",368.20460771863037,"[-0.021202192441333836, 0.3682046077186304, 0.008650541733347583]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy350,350.0,18.20460771863037
62,0.03373026485788647,"[[0.9999997927152343, -5.376494532589078e-05, 0.0006416220211636489], [5.3439528662217716e-05, 0.9999998699540374, 0.0005071845074034482], [-0.0006416492064705207, -0.0005071501142932878, 0.9999996655424724]]",412.4855672577214,"[-0.02753972628570115, 0.4124855672577214, 0.009304251234612237]",y,1,delta y at isocenter.yaml,dy0,isocenter,Lat-Med,dy400,400.0,12.485567257721414
